Listed ticketer,GICS Sector,GICS Sub Industry,Category & Note,Sectcor
DO,Energy,Oil & Gas Drilling,28,3
DVN,Energy,Oil & Gas Exploration & Production,28,3
EOG,Energy,Oil & Gas Exploration & Production,28,3
EP,Energy,Oil & Gas Exploration & Production,28,3
EQT,Energy,Oil & Gas Exploration & Production,28,3
ESV,Energy,Oil & Gas Drilling,28,3
FO,Energy,Oil & Gas Refining & Marketing & Transportation,28,3
HES,Energy,Integrated Oil & Gas,28,3
MRO,Energy,Oil & Gas Exploration & Production,28,3
MUR,Energy,Integrated Oil & Gas,28,3
NBL,Energy,Oil & Gas Exploration & Production,28,3
OXY,Energy,Oil & Gas Exploration & Production,28,3
PXD,Energy,Oil & Gas Exploration & Production,28,3
RRC,Energy,Oil & Gas Exploration & Production,28,3
SE,Energy,Oil & Gas Refining & Marketing & Transportation,28,3
SUN,Energy,Oil & Gas Refining & Marketing & Transportation,28,3
SWN,Energy,Oil & Gas Exploration & Production,28,3
TSO,Energy,Oil & Gas Refining & Marketing & Transportation,28,3
VLO,Energy,Oil & Gas Refining & Marketing & Transportation,28,3
WMB,Energy,Oil & Gas Exploration & Production,28,3
XOM,Energy,Integrated Oil & Gas,28,3
XTO,Energy,Oil & Gas Exploration & Production,28,3
BHI,Energy,Oil & Gas Equipment & Services,29,3
BJS,Energy,Oil & Gas Services & Equip,29,3
CAM,Energy,Oil & Gas Equipment & Services,29,3
FTI,Energy,Oil & Gas Equipment & Services,29,3
HAL,Energy,Oil & Gas Equipment & Services,29,3
NBR,Energy,Oil & Gas Services & Equip,29,3
NOV,Energy,Oil & Gas Equipment & Services,29,3
RDC,Energy,Oil & Gas Services & Equip,29,3
SII,Energy,Oil & Gas Services & Equip,29,3
SLB,Energy,Oil & Gas Equipment & Services,29,3
WFR,Energy,Renewable Energy,30,3
AXP,Financials,Consumer Finance,33,4
BAC,Financials,Banks,33,4
BBT,Financials,Banks,33,4
BEN,Financials,Asset Management & Custody Banks,33,4
BK,Financials,Banks,33,4
C,Financials,Banks,33,4
CIT,Financials,Commercial Finance,33,4
CMA,Financials,Banks,33,4
